Col,Row,X- axis,Y - axis,Z - axis,,Home,,Pick,,,Place,,Pick from,Place in,,Waypoints
g,2,0.534375,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick55,[0.534375; 0.13125; 0.45],0.534375 0.13125 0.45;,place55,[0.534375; 0.13125; 0.45],0.534375 0.13125 0.45;,[0.534375 0.13125 0.45;0.534375 0.13125 0.45;0.45 0 0.49;,,Waypoint55,
h,2,0.534375,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick56,[0.534375; 0.175; 0.45],0.534375 0.175 0.45;,place56,[0.534375; 0.175; 0.45],0.534375 0.175 0.45;,[0.534375 0.175 0.45;0.534375 0.175 0.45;0.45 0 0.49;,,Waypoint56,
a,1,0.578125,-0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick57,[0.578125; -0.13125; 0.45],0.578125 -0.13125 0.45;,place57,[0.578125; -0.13125; 0.45],0.578125 -0.13125 0.45;,[0.578125 -0.13125 0.45;0.578125 -0.13125 0.45;0.45 0 0.49;,,Waypoint57,
b,1,0.578125,-0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick58,[0.578125; -0.0875; 0.45],0.578125 -0.0875 0.45;,place58,[0.578125; -0.0875; 0.45],0.578125 -0.0875 0.45;,[0.578125 -0.0875 0.45;0.578125 -0.0875 0.45;0.45 0 0.49;,,Waypoint58,
c,1,0.578125,-0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick59,[0.578125; -0.04375; 0.45],0.578125 -0.04375 0.45;,place59,[0.578125; -0.04375; 0.45],0.578125 -0.04375 0.45;,[0.578125 -0.04375 0.45;0.578125 -0.04375 0.45;0.45 0 0.49;,,Waypoint59,
d,1,0.578125,0,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick60,[0.578125; 0; 0.45],0.578125 0 0.45;,place60,[0.578125; 0; 0.45],0.578125 0 0.45;,[0.578125 0 0.45;0.578125 0 0.45;0.45 0 0.49;,,Waypoint60,
e,1,0.578125,0.04375,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick61,[0.578125; 0.04375; 0.45],0.578125 0.04375 0.45;,place61,[0.578125; 0.04375; 0.45],0.578125 0.04375 0.45;,[0.578125 0.04375 0.45;0.578125 0.04375 0.45;0.45 0 0.49;,,Waypoint61,
f,1,0.578125,0.0875,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick62,[0.578125; 0.0875; 0.45],0.578125 0.0875 0.45;,place62,[0.578125; 0.0875; 0.45],0.578125 0.0875 0.45;,[0.578125 0.0875 0.45;0.578125 0.0875 0.45;0.45 0 0.49;,,Waypoint62,
g,1,0.578125,0.13125,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick63,[0.578125; 0.13125; 0.45],0.578125 0.13125 0.45;,place63,[0.578125; 0.13125; 0.45],0.578125 0.13125 0.45;,[0.578125 0.13125 0.45;0.578125 0.13125 0.45;0.45 0 0.49;,,Waypoint63,
h,1,0.578125,0.175,0.45,0.45 0 0.49;,[0.45; 0; 0.49],pick64,[0.578125; 0.175; 0.45],0.578125 0.175 0.45;,place64,[0.578125; 0.175; 0.45],0.578125 0.175 0.45;,[0.578125 0.175 0.45;0.578125 0.175 0.45;0.45 0 0.49;,,Waypoint64,
